Document_ID,Cleaned text,Sentiment
40,1010 amaz stori brilliant take magnific cinematographi someon step safe game play superhero movi joker movi also boy movi gritti real insan dark sometim quit disturb peopl dont want accept what shown movi terribl realiti face everyday refus proper care normal peopl start compar movi one greatest like dark knight act wise heath ledger potray joker wouldnt say movi better otherwis stand tall amongst greatest like godfath taxi driver citizen kane dark knight come inevit comparison who better joker heath joaquin answer phenomen job joker charact fortun play two greatest actor definit top contend oscar person think would take away 1best actor 2cinematographi 3origin score upon time hollywood lose makeup hairstyl categori would definit joker,Positive
43,whole point movi bring attent mental ill ill one better name bigger issu mental ill film bare focus lack qualiti mental healthcar film complet discredit messag one dimension depict world charact inhabit seem gotham citizen entir univers matter exist put arthur consid film isnt told arthur perspect blatantli stupid depict world reason peopl like much sad corpor slave especi youth current indoctrin subconsci trick believ part bigger caus realli sit comfi chair,Positive
44,joaquin portray sociopath mental unstabl man transform icon joker non grippingli accur realist touch rendit dark disturb charact piec led oscar worthi perform joaquin phoenix realli feel bad guy make heartbreak inevit becom clown princ crime know love although weve never seen like see suffer throughout movi point almost root himk becom mass murder psyco clown least make feel better happen wish could avoid e mess feel care time he joker wish couldv help there lot great nod greater batman univers yet movi self contain charact piec mark great movi act great plot similar taxi driver brilliant qualiti movi show dont need cgi super power great villain superhero movi joke everyon get movi rise joker 1010,Positive
45,one best movi year 100 oscar worthi joaquin phoenix deliv one best perform ive ever scene,Positive
46,dont wast 2 hour life movi baddest ive seen long time crappi write good storylineit bore went pay counter ask money back 2 hour torturethey cant peopl like peopl 1010 reason went your joke,Negative
47,wasnt titl makeup wouldnt know base comicbook charact first real joker weak unconfid pushov even genesi stage real joker high toler pain could fight intellig made danger due insan joaquin shoot guy subway cowardic tri make murray shoot scene way joaquin joker ever fill shoe badass joker comic even differ incarn differ comic authorsand forget even come close heath ledger portray call movi someth total differ forget tri make connect,Negative
48,dont understand high rate went cinema high expect discov movi slow anyth almost finish first kill happen dread time wait someth happen ye movi finish final walk got cosmic joke joker trust review leav disappoint disbelief actual paid watch,Neutral
49,serious unbeliev dare say better heath ledger joaquin phoenix doesnt win oscar best actor joker doesnt win least best screenplay one biggest oscar snub time,Positive
50,film mental ill specif mental ill call creativ diarrhoea serious though sooo much wrong movi wont even start knew joker sob stori hope artist success went went see anyway ill start point review observ even joker he suav he witti lethal gimmick morbid joke anarch isnt crimin mastermind he loser goe school shooter streak secondli said earlier film mental ill mockeri cash increas awar mental health one concept psychosi mental health problem judici explor movi ill caus suffer laugh inappropri situat serious your get downtrodden loner subject beat injustic design spark indign viewer go murder spree regard muchprais act mysteri anyon could come judgement phoenix theatric achiev base asinin script cant devot iota attent posit review im fairli confid largescal review rig go plot one dimension juvenil dialogu engag monoton nurseri rhyme charact develop shallow goof left right centr like revolv zero recoil 8 bullet arthur keep danc need see arthur fondl emaci much smoke watch mani closeup cigarett burn make wonder film sponsor tobacco industri two posit movi firstli final talk show scene litter though imperfect like rest movi sit littl le slouch seat also interest theori present tie joker batman bar set high dark knight director seek artist acclaim go near joker mani year come mayb ever hand joker charact render boon hollywood opportunist second time weve seen charact butcher low effort high budget money maker one forgotten quick dont know long joker recov,Negative
51,joaquín phoenix unconvinc laugh look like beaten dog brutali ennoy 5 minut world mean bad bad hit back chao anarchi whatev inspir bye clown kill 3 bulli stupid excess brutal name ye director hangov 3 dont want partir brutal bore,Negative
53,trailer movi may seem like potenti action pack movi movi clearli came theater intend progress charact studi shouldnt go movi expect intens action joker know past movi arthur fleck becom joker seen mani bad review bore slow movi believ utter perfect first part movi begin understand arthur person interact everyon life good bad whole point charact studi evolut far away one greatest evolut charact ever seen movi joaquin phoenix perform far best act seen movi possibl last decad see challeng person challeng societi complet break time joaquin isnt act evolv throughout movi anyon think doesnt put oscar win perform theyr ef mind ye movi slow start couldnt jump joker chao need know came begin whole compil movi amaz complet oscar deserv perform joaquin choreographi cinematographi score everyth perfect harmoni may lot controversi surround movi team put togeth perfect movi piti cant appreci tear sweat emot went make movi alway one side movi prefer marvel dc feel like marvel sooo much better overal movi dc put trash joker far away favorit comic movi even though take complet differ spin comic movi appreci evolut appreci movi action movi realli rip tear emot one movi ad wild suspens kick comic book movi done,Positive
54,incred ride almost motionless throughout watch awe perform lifetim transit troubl man monster hound score directli drove goosebump cinematographi made feel like fli gotham look arthur master de niro gave nod jerri lewi ignor dc ignor batman work art right,Positive
55,movi answer questionwhat joker real life charact great deep move stori life journey man who suffer psycholog issu neglect bulli rude human push man complet mad although accur comic book adapt tv seri movi yet fresh uniqu take charact clown princ crime realist approach believ joaquin phoenix amaz perform joker manag bring real life lookalik earli version joker although comic book accur feel decent foundat joker 2 true heart origin version lovabl villain movi great piec filmmak aspect plot interest believ mani relat act impress splendid direct outstand main take movi lack posit lead charact know live tough world full neg posit exampl shed light one two charact movi wouldv nice posit thought joker movi misunderstood mani think itll inspir crime violenc believ contrari mani go hard life feel sympathi joker charact other even relat miseri may justifi action believ movi meant wake call mani lot peopl daili suffer bulli racism hate crime neglect sometim go wors take deeper look action know asid money author equal human treat one anoth way expect treat,Positive
57,joaquin phoenix produc one memor perform ever captur featur film earn hardwar accolad receiv stun disturb portay joker joaquin put virtuoso spotlight perform elev movi legendari statu credit director todd philip build tension throughout film captur nuanc joker tortur darksid slide derang violent insan keep film pace flow ontrack without unnecessari fill util appli variou camera lens shot angl light colorshu apertur set eg bokeh scene frame allow joaquin tap dark corner util uniqu act instinct develop charact phoenix act perform leav noth tabl keep score phoenix talli perfect 10 produc truli legendari perform transform film god know would anoth actor 910 perform film one easili forget,Negative
58,im keep short movi suck ye know there need build charact crap think import good movi goe get joker troubl man get frustrat dont need 2 hour movi tell crap give guy oscar perform throw movi trash right,Negative
59,joker liter achiev cinemat histori there doubt peopl compar endgam movi way complet differ endgam best genr talk joker say beauti present storylin direct screenplay peak great heath ledger smile earth,Negative
60,never left review titl good bad piec garbag regist imdb account vent opinion want 2 hour life back,Negative
61,review make film far better actual dont get wrong technic extrem well done phoenix perform realli quit extraordinari definit look oscar nomin despit excel write act direct film kinda bore moment sure disturb element butif watch would look mani time film lack isexcit final act excel felt like took forev get,Negative
62,realli dont understand mani peopl consid masterpiec simpli hate movi sinc first minut mayb sensibl feel empathi joker charact annoy screenplay annoy music nois music one worst movi seen last year dont save neither phoenix never like way laugh absolut aw laugh joker import take watch gotham see best joker even better jack nicholson heath ledger mile away rubbish,Positive
63,movi masterpiec absolut epitom dc movi dark emot thought provok action action action one best movi ive seen long time critic definit lost touch public ignor one favor watch rememb good one anoth dont know someon el go,Positive
64,reason masterpiec pan croni capitalist critic challeng comfort fake construct realiti effect way almost automat elicit dishonest kneejerk defens reaction frighten bone gaslight charad might get uncov joker delusion sell delus order maintain statu quo eventu know get deserv sentenc sentiment scare movi cut close bone like great gamechang art bit true joker true hero help charact equal mistreat power go free point one treat well call kind essenc movi bare notic like villain movi thoma wayn think despic clown lie pool wool eye misconstru make fals scare point movi damag would get across mark great movi europ instantli recogn reward subvers potenti north america scare hell conformist reaction mani almost reflex reject mean hit hit hard quit uncomfort anyth hypo crite hate much movi expo even expo paper tiger blood suck system depend,Negative
66,creativ actor joaquin creativ embodi role joker film deserv 10,Positive
67,writerdirector todd phillipss new movi joker appeal multipl level primarili offer engag stori strongli root believ realiti relat audienc mainli oppos protagonist preval dark depress mood use often optimist soundtrack sound edit shallow nonetheless rich visual angl frame theatric augment express costum prop set impress via great princip perform act choic made joaquin phoenix lead titl charact proper fiction name arthur fleck whose sudden uncontrol seemingli inappropri laughter justifi medic condit easili counterpoint pain need outcri gotham read citi mass hurt depriv injustic quotidian exist well robert de niro quintessenti support role tvcomedi show host murray franklin worthi endoftheyear act award consider set believ precours futur adventur realist dc comic charact batman superhero extraordinari capabl rather result physic fit skill combin high technolog employ appear young boy whose later adult activ could understood larg driven happen parent final scene movi event directli inspir action joker henceforth futur main nemes,Neutral
68,im make sure give movi 1 star definit 89 that lie joker amaz movi far great bore side lack plot twist focu much charact develop mani time someon need get punch face go crazi suffer get fire mental ill nobodi love he sad cri laugh laugh kill peopl that that movi,Negative
69,dc still give u compel movi wasnt quit hype mean origin stori villain made director hangov movi could even expect review start drop still wasnt sure would like saw way better thought would wont call masterpiec definit top 3 dc film time good there hardli anyth bad joker joaquin phoenix great job bring charact life rather typic superherosupervillain origin stori get see psycholog drama horror thank god got love genr love film like infin war day futur past endgam raimi spiderman occasion realli good take break film kind categori film like unbreak basic movi spoiler ahead arthur torment societi mental unstabl loner lose mind constant torment hell break loo that movi show would quit difficult give realli good stori plot like sinc mani movi kind plot aw crappi one includ complet like movi mean screenplay direct work feel arthur whenev movi ask want root arthur know mean incred terribl thing happen see slowli transit joker complet turn joker worth round applaus feel good well terrifi action joker whenev snap crazi stuff happen without get spoiler would say short mani quotabl line make sen whatev joker psychopath say realist sane person say obvious sick terrifi gruesom joker moment proper joker movi clear trailer there batman spoiler batman refer support movi couldv creat mess might felt like shoehorn plotlin play proper support main stori transit arthur joker mix good thing movi 70 psycho horror vibe couldv origin like mani other point similar taxi driver scorses wasnt copi past taxi driver part make obviou movi inspir taxi driver necessarili bad thing movi element homageish way look well made couldv slightli origin may feel bit slow peopl though worth time take controversi happen moron might watch film caus violenc happen violent movi even though justifi joker action doesnt show right speak violenc psycholog compel horror le violent deadpool feel violent seriou movi glorif side psychopath complet total nonsens conclus must watch dont need follow dc movi understand expect typic superhero action film cgi battl spectacl wrong expect might ruin experi el found better dark knight rise tdkr one favorit genr nolan movi replac anoth movi list may consid great one last thing peopl caus violenc joker would equival good bad ugli inspir three peopl gun duel gold rate score 1010 grade,Positive
70,absolut disappoint believ hype like fool person actual saw told good movi stupid review cring noth actual happen except phoenix smoke danc around action substanc humor everyth cring overact suppos like independ movi tiff cann someth actual wan na entertain see joker dc best descript millenni joker societi mean nobodi give anyth cri complain get attent none given start kill,Neutral
72,agre joaquin perform great well done easi part pull howev good part film movi dark expect much slow dialog put sleep part movi predict though coupl liter two surpris good didnt weigh slow move poorli laid stori say skip one wait hit subscript servic id ask money back stay till end,Negative
73,joker basic lite edit postmodern version fight club scorses film lift interest see easili word like masterpiec groundbreak use one joke movi success pull whole lot selfseri postur essenti hollow pretend say lot end say littl noth charact societi he part also joker name littl supervillain im differ interpret even origin stori joker movi fail recognis captur spirit even protojok doesnt quit justic think dozen suitabl titl eg arthur untal mr fleck smoker poser etc infact he akin le danger also mental unstabl villain like ratcatch calendar man though clown theme even close embodi joker extrem form nihil comicbook accur portray would irrelev genuin good movi far masterpiec doesnt quit manag even fail inaccur portray joker spirit essenc also film person go edg weakest aspect movi poor averag direct movi lack subtleti nuanc hope unfold much charact develop thing happen arthur good exampl poor write direct trumplik onedimension thoma wayn charact first becam obviou scene peopl happen know entir lyric clown song movi otherwis tri hard realist felt unnecessari took experi felt contriv predict take mani obviou liberti plot conveni move stori forward unnatur unrefin way ultim felt like tri disguis poor write direct dark gritti atmospher instead element complement reason watch movi phoenix perform groundbreak good enough earn award nomin two wouldnt put leagu heath ledger portray two differ role charact ledger made joker seem effortless one realli see strain work phoenix put put simpli ledger made seem natur didnt look like act phoenix realli know even extent may seem like overact time perhap owe physic natur version whoever charact suppos that necessarili critic overal averag film best pretend lot dont see one age well rememb decad later way fight club scorses movi inspir cbm like dark knight logan even tim burton batman rememb today,neutral
74,end matter movi movi kind end would leav mani speechless inde masterpiec,Positive
75,joaquin phoenix play joaquin phoenix bore twist sick piec crap one done movi,Negative
76,wow say brilliant phoenix act perform shortcutmovi year,Positive
77,movi excel amaz begin joaquin person seen evolv joker end joker difficult charact think joaquin,Positive
78,plea go watch movi first time ive ever wrote review app ive use read review year that good film dark grimi disturb exactli origin film joker doubt win multipl oscar favor go see,Positive
79,look forward film given hype brilliant act etc yet let film real storylin past present although act brilliant real troubl understand plot one one star actor,Positive
80,joaquin phoenix good direct pretti good write absolut aw movi tri hard relev messag throw jumbl mess quasicommentari hope someth stick complet unclear exactli writerdirector todd phillip actual tri say anyth joker hero resist incel go crazi he mental ill peopl mean rich peopl poor peopl horribl joker exactli class commentari also confus robert de niro movi clearli rip taxi driver mani way also littl mr robot thrown there also subplot neighbor incred stupid pointless actual bear stori whatsoev movi also listless bore throughout much movi slowpac without bore interest thing happen drive plot toward conclus thing drive stori movi know he go becom joker point anyth actual happen movi movi also spend like 5 minut make fun littl person clear reason also peopl say movi good job say nicer peopl especi theyr lone mental health issu firstli shouldnt need movi like nice peopl secondli make movi like lonelyment ill person doesnt becom murder sinc mental ill peopl like victim perpetr crime thirdli want movi show need empath crimin movi peopl color victim mass incarcer lock nonviol charg instead movi white male becom mass murder movi terribl,Neutral
81,stori realli unconvinc nobodi realli care much random dude ineloqu uninspir joker hype portray movi pain cruel cring see rate better one flew cuckoo nest show way better cruelti sadden,Neutral
82,perform joaquin excel stori simpli dont anyth joker mentali ill man struggl chaotic enviro overwhelm snap would much better film titl arthur clown fact forc relat batman univers feld didnt work,Positive
83,somehow darkest seriou movi get highest rate peopl say movi thrill joaquin phoenix deserv oscar end day wasnt entertain mani evil moment dark scene what good movi almost like instruct psycho flip usual idea boundari good evil audienc feel sorri bad guy peopl seem think good thing bad point movi entertain audienc movi made feel depress miser ill watch movi hero clear villain clear actual entertain fundement success formula film,negative
84,joker masterpiec flawless board boast mire decent origin albeit heavyhand sin choppi flow poor direct decis moment part brilliant part wildli overact phoenix part heavi hand natur mental ill written well highlght mani differ ill none feel whole handl much sen understand sprinkl lightheart moment remind hey he still funni time strain mental ill angl difficult laugh moment without bit introspect your laugh real danger movi pose anoth hollywood blunder mental health handl way harm good great existenti pander s say deep feel superhero movi charact studi regardless anyon want categor ill consid gener 3,Negative
85,film tri desper devillifi stylish charismat villain dc univers excruciatingli transform poster child mental ill tediou manner possibl version joker lack semblanc style luster flair charisma leav wonder anyon would bother invest time money requir creat turkey much le watch theyv murder joker sake social commentari pc promot dont deni mental ill real issu attent brought folk watch movi supervillian see supervillaini 2 hour public servic announc hung long could hope movi redeem 3 quarter way could take watch spin wheel fan jack nicholson heath ledger version joker like find film pain watch,Negative
86,best act stori oscar win movi,Positive
87,sat slowwwwww movi would gladli left half way bore movi last 5 minut overhyp usualth violenc must cut version seen think seen gore disney movi,Neutral
88,realiti far fiction what made movi oscar winner actor made new joker rivalri heath ledger joker better joker peopl opinion piec art,Positive
89,mental ill person without talent intellig can not becom super villain angri mental ill person talent intellig anger noth film joker lack creativ depth sen unfortun joker icon charact thing twilight vampir film,Positive
90,yesterday day understand touch histori movi drag deepest thought darkest secret suffer masterpiec grind like meat grinder watch silenc open mouth like whole cinema dont like comic movi marvel pompou absurd insipid opinion art attract dc movi dc made histori made art made drama understand watch exampl aveng leagu justic eat mcdonald hamburg watch joker eat 1000 stake luxuri restaur world,Positive
91,outstand perform joaquin phoenix complet embodi joker charact film peopl decad watch inevit render speechless except,Positive
92,anyon 30 see kind rip king comedi 1982,Negative
93,plan watch would suggest skip last 20 30min otherwis complet bore thought peopl say suppos better heath ledger joker say joker doesnt potenti spent 90 movi show mental issu,Negative
94,joker without doubt new favorit dc film dark gritti enough psycholog twist keep guess begin end noth taken face valu film forc think begin end dont listen critic one worth watch multipl time theater,Positive
95,say satisfi would somewhat mislead joaquin phoenix make feel uncomfort almost entir time couldnt help think christian bale machinist robert de niro taxi driver comparison clearli high prais act film slowli build momentum buildsit realli build look tradit comic book action may feel move bit slow pace allow transform feel superfici walk theater wont know exactli feel youll sure want know everyon el feel,Neutral
96,heath great dark knight even like jare leto suicid squad see countless ad joker definit dont want watch even free watch rather wast money cinema phoenix depress watch time want fast forward thru perform much drama sit watch without want get someth like make cup tea person would like see jare leto charact tougu cheek type harvey quinn cameo,Negative
97,excit movi came theater rave review even excit never got chanc watch theater im glad didnt movi 2 hour felt like 4 flat bore plot liter noth happen movi mental ill insecur man talk therapist laugh kill peopl arthur laugh terribl annoy throughout whole movi arthur depth person movi bore start fall asleep anyon thing movi deep meaning masterpiec clearli seen movi list mani movi much move deep movi tri show villain joker comic distraught weak man realiti joker comic anyth crazi compet mastermind 11 oscar nomin idiot movi anyth oscar worthi,Negative
98,homag borrow wholesal materi film littl remak taxi driver element notabl end borrow network case taxi driver whole line dialogu charact scene lift place movi except execut isnt polish act calib stori origin watch taxi driver network film made 40 year earlier made better,Negative
99,disturb got movi humor much better see first feel piti guy suffer lack charm well killer heath ledger far better,Negative
100,legendari charact legendari perform actor abl move heath ledger perform movi total worth movi deserv oscar showcas never seen origin joker love,Positive
101,sure kind messag movi suppos send suppos fun dont sympath main charact throughout whole movi would get nerv wait entir time plot start revolv final movi left feel ive waist two hour life noth movi high rate expect see someth fresh inspir somehow seem scene act ive seen movi saw thousand time bunch movi like clich clich yawn festiv,Neutral
102,wow honestli got ta tell one best movi ive seen year cinematographi thump sadden soundtrack way omg perform joaquin phoenix dark evolv twist wow feel deep bone emot portray joker alon watch hear joker laugh twisti evil could hear sad come mouth could hear hour practic laugh alon method act perfectli point along subtl gestur danc done perfectli joker movi psycholog twist made believ immers movi total shock overwhelm everyth even left cinema mindblown watch cinema half cinema cheer applaud certain scene almost entir patron stay last credit u look close even joker costum evolv chang time time base journey experienc look final true form look absolut stun excit dialogu told joker heartcrush made felt bad joker first time side evil charact mayb hero movi know honestli u watch one best perform u watch long time movi like deserv watch big screen go find best cinema town enjoy wild ride emot fear anger satisfi,Positive
103,dumbest dc movi yet way miss opportun first joker charact wrong depict joker unintellig person wit wrong joker mayb insan wit intellig make master crimin keep batman toe abil alway find way lock demonstr bar set high joker suicid squad didnt come close epic legend,Negative
104,enjoy film felt pretti short end appear screen couldnt help think that joaquin phoenix fantast new take joker mesmer see facial express keep chang joker laugh uniqu sinist full joker mad howev despit minor plot twist interest bit film alreadi shown trailer dont expect much action like dark knight trilog despit much hype gun violenc le gun movi batman flick bad film great one either watch joaquin perform,Neutral
105,underwhelm say friendli surpris fact hollywood lost magic looong time ago imho bo dy give damn darth vader childhood joker relationship mother want centuri proper boogeyman overpaid lalalandschmock wont jump stupid prequelexplainsitalltrain plea give u least solid filmmak joker mess stori fine buildup surpris idea load laymanpsycholog make even 12i old roll eye cacophoni le unrel scene cheesi taxidrivermo without impact massiv overact phoenix subtl sinist joker moment except two second elevatorscen know love trailer rate 90 joke heath ledger miss,Neutral
106,movi repres everyth wrong hollywood take exist thing make vast chang point longer thing yet still call thing profit popular stori loser end rope life sad pathet powerless thusof cours lash world millenni stori person blame everyon el victim strength charact isnt scari isnt thing fear call joker without strength knowledg could never joker actual hard kill vastli intellig crimin mastermind besid undermin everi singl thing joker histori make mockeri batman univers man crimin histori cant fight worth damn lowiq nitwit magic becom batman greatest enemi hold power mob bos villain dc univers hate world life suck point gone deep psycholog aspect film claim understand itit true deep psycholog look mind profession victim fail life want burn world ignor could never happen person like could hope go bang liter weak beta male hope ever take person mental strength thing gain power keep use make movi failur level act supurb phoenix would make great joker cast play actual joker sadli movi miss mark come remot close like charact joker incarn least leto close new 52 joker enough make role joker one,Negative
107,say hasnt alreadi said terribl film great even realli good one either technic aspect great score cinematographi realli good mani individu scene also good whole feel unnecessari tone deaf well tri say mental ill problemat realli sure tri say even tri say anyth instead ad well easi right joaquin phoenix realli excel mani scene film im sure would want win oscar overal also interest kind bore time joker film bore that crucial offens guess everyon entitl opinion serious wonder peopl call masterpiec even seen taxi driver king comedi,Neutral
110,rate act overr movi terribl watch man smoke 112 cigarett fake laugh two hour,Positive
